Nr.,Vaiko gimimo metai,Prašymo pateikimo data,Vaiko priėmimo į grupę data,Deklaruotas mieste,Atitinka priskirta teritorija,Vaiko seniunija,Deklaruota gyvenamoji vieta
15731,2013,2014-04-29,2014-05-30,Taip,Taip,Žirmūnų,Vilnius
15732,2012,2013-09-11,2013-09-11,Taip,Taip,Justiniškių,Vilnius
15733,2010,2013-05-27,2013-11-15,Ne,Taip,Naujamiesčio,
15734,2012,2014-08-29,2014-08-29,Taip,Taip,Žirmūnų,Vilnius
15735,2011,2014-02-12,2014-09-02,Taip,Taip,Naujosios Vilnios,Vilnius
15736,2013,2014-02-25,2014-05-30,Taip,Taip,Žirmūnų,Vilnius
15737,2009,2012-08-07,2012-09-01,Taip,Taip,Verkių,Vilnius
15738,2010,2012-08-07,2012-09-01,Taip,Taip,Šeškinės,Vilnius
15739,2009,2012-08-07,2012-09-01,Taip,Taip,Rasų,Vilnius
15740,2008,2014-02-14,2014-07-17,Taip,Taip,Naujininkų,Vilnius
15741,2010,2012-08-07,2012-09-01,Taip,Taip,Rasų,Vilnius
15742,2009,2012-08-07,2012-09-01,Ne,Taip,,
15743,2009,2012-08-07,2012-09-01,Taip,Taip,Naujininkų,Vilnius
15744,2008,2012-08-07,2012-09-01,Ne,Taip,,
15745,2008,2012-08-07,2012-09-01,Taip,Taip,Naujininkų,Vilnius
15746,2008,2012-08-07,2012-09-01,Taip,Taip,Antakalnio,Vilnius
15747,2010,2012-08-07,2012-09-01,Taip,Taip,Rasų,Vilnius
15748,2009,2012-08-07,2012-09-01,Taip,Taip,Antakalnio,Vilnius
15749,2009,2012-08-07,2012-09-01,Taip,Taip,Vilkpėdės,Vilnius
15750,2011,2011-07-12,2013-07-01,Taip,Taip,Senamiesčio,Vilnius
15751,2008,2012-08-07,2012-09-01,Taip,Taip,Naujininkų,Vilnius
15752,2010,2012-08-07,2012-09-01,Taip,Taip,Fabijoniškių,Vilnius
15753,2010,2011-05-31,2013-06-19,Taip,Taip,Rasų,Vilnius
15754,2008,2012-08-07,2012-09-01,Taip,Taip,Pašilaičių,Vilnius
15755,2011,2012-05-14,2013-07-01,Taip,Taip,Senamiesčio,Vilnius
15756,2008,2014-09-01,2014-09-02,Taip,Ne,,
15757,2009,2012-08-07,2012-09-01,Ne,Ne,,
15758,2009,2012-08-07,2012-09-01,Taip,Taip,Naujininkų,Vilnius
15759,2011,2012-03-01,2013-07-01,Taip,Taip,Naujininkų,Vilnius
15760,2010,2012-08-07,2012-09-01,Taip,Taip,Naujininkų,Vilnius
15761,2010,2012-08-07,2012-09-01,Taip,Taip,Naujosios Vilnios,Vilnius
15762,2009,2012-01-23,2013-06-27,Taip,Taip,Rasų,Vilnius
15763,2009,2012-08-07,2012-09-01,Ne,Taip,,
15764,2009,2012-08-07,2012-09-01,Ne,Taip,,
15765,2008,2012-08-07,2012-09-01,Taip,Taip,Rasų,Vilnius
15766,2011,2011-09-27,2013-07-01,Taip,Taip,Žirmūnų,Vilnius
15767,2009,2012-08-07,2012-09-01,Ne,Taip,,
15768,2011,2011-10-19,2013-07-01,Taip,Taip,Senamiesčio,Vilnius
15769,2009,2012-03-16,2012-09-01,Taip,Taip,Naujininkų,Vilnius
15770,2009,2012-08-07,2012-09-01,Ne,Ne,,
15771,2010,2012-05-15,2013-01-01,Taip,Taip,Naujininkų,Vilnius
15772,2009,2012-08-07,2012-09-01,Ne,Taip,Rasų,
15773,2008,2012-08-07,2012-09-01,Taip,Taip,Fabijoniškių,Vilnius
15774,2010,2012-08-07,2012-09-01,Taip,Taip,Antakalnio,Vilnius
15775,2009,2012-08-07,2012-09-01,Taip,Taip,Naujininkų,Vilnius
15776,2011,2011-08-16,2013-07-01,Taip,Taip,Rasų,Vilnius
15777,2010,2012-08-07,2012-09-01,Ne,Taip,,
15778,2009,2012-08-07,2012-09-01,Taip,Taip,Naujosios Vilnios,Vilnius
15779,2011,2011-11-02,2013-07-01,Taip,Taip,Šeškinės,Vilnius
15780,2008,2013-05-03,2013-06-27,Taip,Taip,Rasų,Vilnius
15781,2010,2012-08-10,2012-09-03,Taip,Taip,Fabijoniškių,Vilnius
15782,2011,2012-06-28,2012-09-01,Taip,Taip,Senamiesčio,Vilnius
15783,2010,2012-07-18,2011-09-01,Taip,Taip,Naujamiesčio,Vilnius
15784,2010,2012-08-14,2012-09-01,Taip,Taip,Šnipiškių,Vilnius
15785,2012,2013-01-20,2013-06-28,Taip,Taip,Naujamiesčio,Vilnius
15786,2011,2012-08-10,2012-09-03,Taip,Taip,Verkių,Vilnius
15787,2010,2012-08-10,2012-09-01,Taip,Taip,Fabijoniškių,Vilnius
15788,2010,2013-01-02,2013-04-01,Taip,Taip,Grigiškių,Vilniaus m. sav.
15789,2011,2012-08-10,2012-09-03,Taip,Taip,Fabijoniškių,Vilnius
15790,2012,2014-01-10,2014-06-01,Taip,Taip,Naujamiesčio,Vilnius
15791,2011,2012-08-03,2013-04-15,Taip,Taip,Naujamiesčio,Vilnius
15792,2012,2014-01-13,2014-08-29,Taip,Taip,Naujamiesčio,Vilnius
15793,2011,2014-09-08,2014-09-08,Taip,Taip,Vilkpėdės,Vilnius
15794,2011,2013-04-11,2013-04-22,Taip,Taip,Karoliniškių,
15795,2010,2012-08-10,2012-09-11,Taip,Taip,Panerių,Vilnius
15796,2011,2014-01-15,2014-05-22,Taip,Taip,Naujamiesčio,Vilnius
15797,2011,2012-12-17,2013-06-28,Taip,Taip,Naujamiesčio,Vilnius
15798,2010,2012-08-10,2012-09-27,Taip,Taip,Karoliniškių,Vilnius
15799,2010,2012-08-10,2012-09-01,Taip,Taip,Karoliniškių,Vilnius
15800,2012,2013-01-21,2013-09-11,Taip,Taip,Naujamiesčio,Vilnius
15801,2011,2012-12-18,2013-09-01,Taip,Taip,Žirmūnų,Vilnius
15802,2011,2014-09-16,2014-09-16,Taip,Taip,Senamiesčio,Vilnius
15803,2011,2012-12-17,2013-09-02,Taip,Taip,Naujamiesčio,Vilnius
15804,2012,2013-02-03,2014-11-17,Taip,Taip,Naujininkų,Vilnius
15805,2011,2012-08-20,2012-09-01,Taip,Taip,Naujamiesčio,Vilnius
15806,2011,2012-12-17,2013-06-30,Taip,Taip,Naujamiesčio,Vilnius
15807,2011,2013-04-17,2013-06-30,Taip,Taip,Naujamiesčio,Vilnius
15808,2012,2013-04-10,2014-11-18,Taip,Taip,Fabijoniškių,Vilnius
15809,2011,2014-01-22,2014-05-30,Taip,Taip,Žirmūnų,Vilnius
15810,2012,2014-01-10,2014-03-06,Taip,Taip,Naujamiesčio,Vilnius
15811,2011,2014-01-10,2014-06-01,Taip,Taip,Naujamiesčio,Vilnius
15812,2010,2012-08-01,2012-09-13,Ne,Ne,,
15813,2011,2012-08-13,2012-09-01,Taip,Taip,Verkių,Vilnius
15814,2011,2012-12-19,2013-12-05,Taip,Taip,Naujamiesčio,Vilnius
15815,2012,2012-12-20,2013-06-27,Taip,Taip,Naujamiesčio,Vilnius
15816,2011,2012-08-11,2012-09-01,Taip,Taip,Naujamiesčio,Vilnius
15817,2012,2013-03-29,2013-06-20,Taip,Taip,Naujininkų,Vilnius
15818,2010,2012-08-13,2012-09-01,Taip,Taip,Žirmūnų,Vilnius
15819,2010,2012-07-24,2012-09-03,Taip,Taip,Pašilaičių,Vilnius
15820,2011,2012-12-18,2013-06-28,Taip,Taip,Naujamiesčio,Vilnius
15821,2011,2012-08-07,2012-09-01,Taip,Taip,Naujamiesčio,Vilnius
15822,2012,2013-01-25,2013-09-11,Taip,Taip,Naujamiesčio,Vilnius
